canonical_stratum_order,stratum_key,stratum_subject_count,raw_test_quota_numerator,raw_test_quota_denominator,floor_test_quota,fractional_remainder_numerator,fractional_remainder_denominator,final_test_quota,final_train_count
1,male|18_to_lt_40|one_case,114,114,5,22,4,5,23,91
2,male|18_to_lt_40|two_cases,3,3,5,0,3,5,1,2
3,male|18_to_lt_40|three_or_more_cases,1,1,5,0,1,5,0,1
4,male|40_to_lt_60|one_case,384,384,5,76,4,5,77,307
5,male|40_to_lt_60|two_cases,7,7,5,1,2,5,2,5
6,male|40_to_lt_60|three_or_more_cases,0,0,1,0,0,1,0,0
7,male|60_to_lt_75|one_case,514,514,5,102,4,5,103,411
8,male|60_to_lt_75|two_cases,6,6,5,1,1,5,1,5
9,male|60_to_lt_75|three_or_more_cases,1,1,5,0,1,5,0,1
10,male|ge_75|one_case,150,30,1,30,0,1,30,120
11,male|ge_75|two_cases,5,1,1,1,0,1,1,4
12,male|ge_75|three_or_more_cases,0,0,1,0,0,1,0,0
13,female|18_to_lt_40|one_case,146,146,5,29,1,5,29,117
14,female|18_to_lt_40|two_cases,0,0,1,0,0,1,0,0
15,female|18_to_lt_40|three_or_more_cases,0,0,1,0,0,1,0,0
16,female|40_to_lt_60|one_case,559,559,5,111,4,5,112,447
17,female|40_to_lt_60|two_cases,6,6,5,1,1,5,1,5
18,female|40_to_lt_60|three_or_more_cases,0,0,1,0,0,1,0,0
19,female|60_to_lt_75|one_case,389,389,5,77,4,5,78,311
20,female|60_to_lt_75|two_cases,6,6,5,1,1,5,1,5
21,female|60_to_lt_75|three_or_more_cases,0,0,1,0,0,1,0,0
22,female|ge_75|one_case,122,122,5,24,2,5,24,98
23,female|ge_75|two_cases,2,2,5,0,2,5,0,2
24,female|ge_75|three_or_more_cases,0,0,1,0,0,1,0,0
