dimension,alternative,candidate_id,minimum_usable_windows,eligible_case_count,source,robustness_reference_only,final_cohort,selected
sqi_rule,sqi_not_required,sqi_not_required__bis20s__drug60s,120,2463,Phase_6C_minimum_window_sensitivity,true,false,false
sqi_rule,sqi_ge_20,sqi_ge_20__bis20s__drug60s,120,2460,Phase_6C_minimum_window_sensitivity,true,false,false
sqi_rule,sqi_ge_80,sqi_ge_80__bis20s__drug60s,120,2412,Phase_6C_minimum_window_sensitivity,true,false,false
bis_staleness,10_seconds,sqi_ge_50__bis10s__drug60s,120,2458,Phase_6C_minimum_window_sensitivity,true,false,false
bis_staleness,30_seconds,sqi_ge_50__bis30s__drug60s,120,2460,Phase_6C_minimum_window_sensitivity,true,false,false
drug_hold,30_seconds,sqi_ge_50__bis20s__drug30s,120,2460,Phase_6C_minimum_window_sensitivity,true,false,false
drug_hold,120_seconds,sqi_ge_50__bis20s__drug120s,120,2460,Phase_6C_minimum_window_sensitivity,true,false,false
drug_hold,300_seconds,sqi_ge_50__bis20s__drug300s,120,2460,Phase_6C_minimum_window_sensitivity,true,false,false
drug_hold,600_seconds,sqi_ge_50__bis20s__drug600s,120,2460,Phase_6C_minimum_window_sensitivity,true,false,false
minimum_windows,30,sqi_ge_50__bis20s__drug60s,30,2464,Phase_6C_minimum_window_sensitivity,true,false,false
minimum_windows,60,sqi_ge_50__bis20s__drug60s,60,2462,Phase_6C_minimum_window_sensitivity,true,false,false
minimum_windows,300,sqi_ge_50__bis20s__drug60s,300,2286,Phase_6C_minimum_window_sensitivity,true,false,false
minimum_windows,600,sqi_ge_50__bis20s__drug60s,600,1528,Phase_6C_minimum_window_sensitivity,true,false,false
