item,status,evidence_or_request
PPO training entry point,available_but_unverified,"Legacy wrapper exists; request laboratory-authoritative executable entry point and source SHA"
Evaluation entry point,available_but_unverified,"Legacy validation evaluator is coupled to legacy cohort/checkpoint assumptions"
Requirements or environment file,missing_request_from_lab,"Request lockfile or container with exact transitive versions"
Python version,missing_request_from_lab,"Request exact supported Python version"
Gymnasium version,missing_request_from_lab,"Current environment lacks Gymnasium"
Stable-Baselines3 version,missing_request_from_lab,"Current environment lacks Stable-Baselines3 and legacy requirements omit it"
Patient simulator,available_but_unverified,"Legacy synthetic reset and one 10-second step passed; laboratory version preferred"
PK-PD implementation,available_but_unverified,"Legacy implementation executes but scientific equations and units need authoritative validation"
Reward equation and coefficients,missing_request_from_lab,"Request exact timing equation coefficients and safety terms"
Action definition unit and bounds,conflicting,"Legacy sources contain multiple provenance levels and synthetic bounds"
PPO hyperparameters,available_but_unverified,"Legacy candidates exist but are not an approved study contract"
Total training steps,missing_request_from_lab,"Request final budget and stopping rule"
Patient sampling rule,missing_request_from_lab,"Request episode sampling and repeated-subject handling"
Remifentanil schedule,missing_request_from_lab,"Request source timing units and controller visibility"
Termination rule,available_but_unverified,"Legacy fixed horizon exists; request safety and numerical termination"
Checkpoint format,missing_request_from_lab,"Request schema and compatibility contract; no checkpoint requested now"
Example config,missing_request_from_lab,"Request clean non-data-dependent example"
Example command,available_but_unverified,"Legacy smoke command exists but is not authorized or environment-verified"
Expected output,missing_request_from_lab,"Request output schemas and evaluation artifacts"
Existing state schema,available_but_unverified,"Legacy state profiles differ from amended S0/S1"
Normalization,missing_request_from_lab,"Request whether fixed or fit and exact transform"
